55.0927909,38.7679605,55.0927282,38.7679306,55.0926945,38.7679142,55.0926471,38.767892,55.0921517,38.767656,55.0920403,38.7676036,55.0919122,38.7675419,55.091694,38.7674324,55.0909448,38.7670465
55.0933855,38.7600678,55.0936738,38.7595964,55.0937306,38.7595018,55.0937732,38.7594127,55.0941614,38.7586993,55.0943679,38.7583988,55.0944427,38.7583259,55.0945602,38.7582242,55.0948317,38.7579711
55.0948823,38.7578686,55.0952,38.757267,55.0953942,38.7568992,55.0954715,38.7567897,55.0956755,38.7564973,55.0957959,38.756342,55.0958665,38.7562098,55.0959129,38.7560681,55.0959693,38.7558234
55.0946264,38.7629277,55.0945316,38.7630971,55.0943121,38.7634894,55.0939006,38.7642252,55.0938444,38.7643257,55.0935048,38.7649757,55.093085,38.7657783,55.0930067,38.7659118,55.0929433,38.765996
55.0980099,38.7504792,55.0980003,38.7501817,55.0979671,38.7499321,55.0979047,38.7497518,55.0978247,38.7496196,55.0974963,38.7491033,55.0973498,38.7489027,55.0972619,38.7487927,55.0971118,38.7486893
55.0831425,38.7577014,55.0836786,38.75586,55.0838089,38.755412,55.0838514,38.7553145,55.083905,38.7552438,55.0846629,38.7546449,55.0854069,38.7541242,55.0860561,38.7536675,55.0863667,38.7534765
55.0878418,38.7617192,55.0873105,38.7612488,55.0869093,38.7608936,55.0860761,38.7601591,55.0853699,38.7595618,55.0852953,38.7594917,55.085246,38.7594176,55.0851596,38.7593551,55.0849776,38.7592117
55.0884707,38.78721,55.0879253,38.7891124,55.087609,38.790203,55.0873869,38.790981,55.087257,38.7914382,55.0869455,38.792477,55.0867825,38.7930204,55.086354,38.7944801,55.0862214,38.7949349
55.0985412,38.7753787,55.0985904,38.7754751,55.0986567,38.7756743,55.0986691,38.7757625,55.0987482,38.7766938,55.0987568,38.7767953,55.0987775,38.7770379,55.0988563,38.7778609,55.0989281,38.7785382
55.0948105,38.7730055,55.09475,38.77306,55.0946949,38.7730687,55.0946469,38.7730576,55.0940071,38.7724738,55.0939552,38.7724284,55.0933626,38.7719263,55.0933149,38.7718827,55.0931665,38.771747
55.0850783,38.7941646,55.0845695,38.7937255,55.0840437,38.7932461,55.0840013,38.7932074,55.0827182,38.7920376,55.0826561,38.791981,55.0823053,38.7916612,55.0815751,38.7909956,55.0814028,38.7908384
55.0890941,38.7912867,55.0893762,38.7904369,55.0893999,38.7903654,55.0894148,38.7903093,55.0896287,38.7895026,55.089704,38.7890076,55.0898216,38.7885493,55.0901095,38.7876692,55.0903861,38.7867596
55.0983998,38.7800691,55.0979783,38.7802049,55.0978417,38.7802489,55.0977778,38.7802239,55.0977474,38.7801213,55.0977263,38.7798746,55.0977052,38.7796262,55.0977204,38.7795536,55.097724,38.7795466
55.091676,38.7632158,55.0919988,38.7626074,55.0923119,38.7620291,55.0927018,38.7613093,55.0930312,38.7606797,55.0929679,38.7604914,55.0929411,38.7603421,55.0929598,38.7602641,55.0930054,38.7601889
55.0867996,38.7727311,55.0868915,38.7724238,55.0870316,38.7719898,55.0871505,38.7716765,55.0873304,38.7713339,55.0875212,38.7710177,55.087706,38.7707847,55.0877327,38.7707511,55.0877757,38.770718
55.0882809,38.7704646,55.0884452,38.7703894,55.0886009,38.7703354,55.0887629,38.7703009,55.0889465,38.7703101,55.0891118,38.7703643,55.0893123,38.7704632,55.0895602,38.7705898,55.0896615,38.77058
55.0780095,38.7817003,55.078155,38.7812018,55.0777668,38.7808561,55.0774322,38.780558,55.0773435,38.7804791,55.0772973,38.7804379,55.076699,38.7799051,55.0760578,38.7793353,55.0760081,38.7792856
55.0947003,38.7588564,55.0945972,38.7589453,55.0945467,38.7589563,55.0944922,38.7589954,55.094369,38.7592323,55.0942773,38.7594084,55.0944774,38.7597464,55.0946363,38.7600151,55.0948952,38.7595227
55.076175,38.8004377,55.0761937,38.7998843,55.0762012,38.7996623,55.0762031,38.7996056,55.0762176,38.7991752,55.0762216,38.7990008,55.0762116,38.7988414,55.0761927,38.798632,55.0760796,38.7978614
55.0771451,38.7524779,55.0768876,38.752338,55.0758224,38.7518286,55.0757779,38.7518011,55.0747404,38.7512663,55.0746271,38.7510504,55.0745338,38.7506804,55.0751559,38.7466815,55.0753565,38.7453921
55.0933729,38.7232158,55.0934635,38.7241028,55.0934812,38.7243785,55.0935233,38.724601,55.0935891,38.7248423,55.0936856,38.7250195,55.0938074,38.7252293,55.0942132,38.7258946,55.0943093,38.7261079
55.0776535,38.7524673,55.0775237,38.7524185,55.0773154,38.7524732,55.0771738,38.7526236,55.0770087,38.7528452,55.0769099,38.7529688,55.0768425,38.7530394,55.0766767,38.7531034,55.0765052,38.7532003
55.0812198,38.7906716,55.0811826,38.7908169,55.0810857,38.7911599,55.0810329,38.7913469,55.0807256,38.7924346,55.0806781,38.7926028,55.0805507,38.7930537,55.0804888,38.7930002,55.0802779,38.7937468
55.0812732,38.7892101,55.081504,38.7884075,55.0816231,38.7879933,55.081793,38.7874025,55.0819251,38.7869428,55.0820248,38.7865962,55.0822844,38.7856932,55.0824193,38.7852239,55.0825914,38.7846255
55.0762523,38.7998969,55.0762602,38.7996089,55.0762661,38.7991795,55.0762577,38.7988799,55.0762388,38.7986118,55.0761325,38.7978411,55.0761114,38.7976859,55.0759388,38.7964597,55.0758298,38.7956416
55.074901,38.8003093,55.0749486,38.800274,55.0752453,38.8000788,55.0752835,38.800062,55.0754544,38.799987,55.0751825,38.7980977,55.075572,38.7979267,55.0755927,38.7980706,55.0760796,38.7978614
55.0797877,38.794377,55.0798387,38.7944215,55.0800382,38.7945955,55.0804736,38.7949755,55.0814791,38.795853,55.0816315,38.7959829,55.0818934,38.7962058,55.0821175,38.7964046,55.0828331,38.7970395
55.0773659,38.7618545,55.0773556,38.7619324,55.0773318,38.7620144,55.0773031,38.7620972,55.0771459,38.7624167,55.0771057,38.7626033,55.077057,38.7628435,55.0769364,38.7629509,55.0768333,38.7636181
55.0918398,38.7573493,55.0921708,38.7576541,55.0923938,38.757838,55.0929076,38.7582869,55.0929548,38.758338,55.0929838,38.7583684,55.0930646,38.7584567,55.0933574,38.7588062,55.0935094,38.7589843
55.0919786,38.7502368,55.0918653,38.7505532,55.0911554,38.7527811,55.0910712,38.7531041,55.0909668,38.7534444,55.0908738,38.7538892,55.0907365,38.7542089,55.0905185,38.754931,55.090427,38.7553512
55.0949143,38.771967,55.0948634,38.7719865,55.0948115,38.7719705,55.0947702,38.7719259,55.0947374,38.7718466,55.0947259,38.7717563,55.0947347,38.7716673,55.0947624,38.7715901,55.0948054,38.7715366
55.0942909,38.7682634,55.0942317,38.7682031,55.0941533,38.7680774,55.0941313,38.7680463,55.0940934,38.767968,55.0940006,38.7679481,55.0939314,38.7679696,55.0938074,38.7680788,55.0937132,38.7681669
55.0935954,38.7691988,55.0935304,38.7688819,55.0934162,38.76871,55.0932732,38.7686069,55.0929936,38.7684766,55.0929214,38.768443,55.0927171,38.7683553,55.0926513,38.7683648,55.0919637,38.7679704
55.091894,38.7679948,55.0918216,38.7679895,55.0917441,38.7680092,55.091557,38.7679158,55.0908945,38.7676683,55.0906011,38.7674162,55.0905157,38.7673378,55.0904324,38.7672304,55.0898179,38.7668982
55.0944207,38.7708359,55.0943839,38.7708217,55.0943636,38.7707663,55.0943717,38.770702,55.094388,38.7706839,55.0944035,38.7706666,55.0944403,38.7706808,55.0944605,38.7707362,55.0944524,38.7708005
55.0820535,38.7721556,55.0821201,38.7719072,55.0823173,38.7720772,55.0823761,38.7721292,55.0825271,38.7722627,55.0828606,38.7725576,55.0828886,38.7726969,55.0827012,38.7733715,55.0826668,38.773492
55.1004617,38.7388582,55.1004313,38.7386305,55.1003074,38.7383354,55.0999636,38.7376856,55.0996689,38.7375541,55.0995444,38.7375232,55.0994786,38.7374495,55.0991991,38.7369465,55.0991242,38.736762
55.0990978,38.736697,55.0990414,38.7365891,55.0986637,38.735867,55.0982362,38.7349607,55.0979102,38.7341638,55.0978319,38.7339734,55.0976892,38.7340485,55.0976602,38.7340822,55.0975879,38.7341665
55.10078,38.7438521,55.0999805,38.7447345,55.0998945,38.744882,55.0998347,38.7449169,55.0997748,38.7449303,55.098804,38.7463127,55.0984059,38.7469903,55.0983246,38.7470707,55.098211,38.7471217
55.0825914,38.7846255,55.082912,38.7849048,55.0835758,38.7854832,55.0835854,38.7855437,55.0836059,38.785672,55.0838161,38.7858526,55.0840656,38.7860669,55.0843304,38.7862944,55.0846172,38.7865408
55.0974267,38.7652306,55.0980637,38.7662666,55.0980862,38.7663023,55.0981824,38.7661372,55.099041,38.7646126,55.0990943,38.764512,55.0991065,38.764489,55.1002587,38.7622805,55.1010248,38.7607487
55.0759571,38.7787081,55.0759955,38.7787427,55.0760427,38.7787852,55.0760682,38.7788082,55.0761321,38.7788656,55.0761947,38.778922,55.076821,38.7794855,55.0774621,38.7800625,55.0778861,38.7804441
55.0782743,38.7807934,55.0784857,38.7809837,55.0785294,38.781023,55.0788596,38.7813202,55.0788778,38.7813366,55.0790892,38.7815268,55.0797085,38.7820841,55.0803397,38.7826522,55.080608,38.7828937
